MeSH,count
*Emigrants and Immigrants,48
Ascorbic Acid/pharmacology,1
"Dermatitis, Occupational/*etiology/therapy",13
Anxiety Disorders/epidemiology/psychology,7
"Pneumonia, Viral/complications/mortality/*pathology/virology",2
Lung Injury/diagnosis/*etiology/immunology,1
Diabetes Complications/epidemiology/pathology,14
"*Pneumonia, Bacterial/diagnosis",2
"*Pneumonia, Viral/diagnosis/prevention & control",21
Electronic Health Records/legislation & jurisprudence,11
Smartphone,147
*Femur Head,5
"Translational Research, Biomedical",68
Security Measures/economics/legislation & jurisprudence,3
T-Lymphocytes/*immunology/metabolism/pathology,21
*Anesthesia/methods/veterinary,7
Respiratory Therapy,18
Foundations/*history,4
Respiratory Insufficiency/diagnosis/etiology/*therapy,12
*Asthma/epidemiology/etiology,5
*Major Histocompatibility Complex/genetics/immunology,2
Patient Preference,3
"Hospitals, Pediatric/organization & administration",17
Pulmonary Embolism/etiology/*therapy,24
*Physicians/psychology/statistics & numerical data,4
"*Pneumonia, Viral/complications/drug therapy/prevention & control",1
Emetine,1
Cytoplasm/virology,4
"*Colitis, Ulcerative/diagnosis/drug therapy/epidemiology/physiopathology",1
"Pneumonia, Viral/economics/prevention & control",1
Racism/*psychology,17
Antibodies/chemistry,22
"Hemorrhagic Fever, Ebola",2
*Foundations,3
Klebsiella pneumoniae,11
Caspase Inhibitors/pharmacology/therapeutic use,1
COVID-19/*complications/epidemiology/immunology/*physiopathology,6
Medical Errors,21
Delirium/diagnosis/epidemiology/*etiology,7
"Pneumonia, Viral/*genetics/immunology/prevention & control/*transmission",3
Virus Diseases/*drug therapy/immunology/pathology,1
Plague/epidemiology,6
Subarachnoid Hemorrhage/etiology,1
*Emergency Medicine,34
"Anesthesia, Cardiac Procedures/methods/*standards",1
*Coronavirus Infections/diagnosis/pathology/therapy,1
Elective Surgical Procedures/*psychology,15
*Mycoplasma pneumoniae/immunology/isolation & purification,1
"Coronavirus OC43, Human/*metabolism",12
Facilities and Services Utilization/*organization & administration,1
Surgical Oncology/methods/standards,2
"*Pneumonia, Viral/complications",279
Feeding Behavior,63
Resource Allocation/economics/organization & administration,1
Biosynthetic Pathways,2
Gastrointestinal Diseases/physiopathology/therapy/*virology,9
Biomedical Research/organization & administration,8
Stroke/complications/diagnostic imaging/*therapy,1
COVID-19/diagnosis/*epidemiology/*prevention & control/virology,14
Emigrants and Immigrants/psychology,9
"Aneurysm, Ruptured/*surgery",15
Powders,25
Interferon Type I/*pharmacology,6
Phlebotomy/*instrumentation,1
Muscle Proteins/metabolism,2
Heart Transplantation/*methods,16
Central Nervous System/diagnostic imaging/*virology,1
Iron Chelating Agents/therapeutic use,12
"Immunity, Cellular/*immunology",23
Psychotropic Drugs/adverse effects/metabolism/*therapeutic use,1
"Heterocyclic Compounds, 4 or More Rings/*chemistry/pharmacology",2
"Diagnostic Tests, Routine/methods",42
Consciousness Disorders/etiology/physiopathology,18
Telmisartan/pharmacology/*therapeutic use,4
Solutions/*radiation effects,2
Immunoglobulin Isotypes/blood,13
Swine Diseases/*diagnosis/*microbiology/virology,1
Autoimmune Diseases/chemically induced,13
Critical Illness/epidemiology/*therapy,17
Stents/adverse effects,13
COVID-19/mortality/pathology/*prevention & control/virology,12
Coronavirus Infections/diagnostic imaging/*drug therapy,50
*Frailty/diagnosis/physiopathology/therapy,1
*Medical Futility,21
"Pneumonia, Viral/diagnosis/epidemiology/*prevention & control/transmission",140
Medical Audit,20
Bevacizumab/therapeutic use,8
*Telemetry,28
Virus Diseases/metabolism,17
*Leukocyte Count/methods/statistics & numerical data,4
Rituximab/*therapeutic use,43
"Magnetic Resonance Imaging, Cine",29
Angiotensin-Converting Enzyme 2/biosynthesis/*drug effects,6
COVID-19/pathology/virology,71
COVID-19/complications/*epidemiology/transmission/virology,22
Blood Viscosity,3
"*Vaccines, Synthetic",8
Health Resources/economics/*statistics & numerical data,10
Health Priorities/ethics,40
Diarrhea/physiopathology,19
*COVID-19 Vaccines/immunology,18
"Drug Therapy, Combination/*methods",9
beta-Lactamases,23
COVID-19/*surgery/virology,1
Trust,234
COVID-19/nursing/*rehabilitation,3
Colorectal Surgery/*trends,2
"Arrhythmias, Cardiac/etiology/physiopathology/therapy",2
*Long QT Syndrome/chemically induced/diagnosis,1
Triage/*methods/trends,1
"Anesthesia, Epidural/adverse effects/methods",19
Coronavirus Infections/*diagnosis/drug therapy/prevention & control,5
"Analgesics, Opioid/adverse effects/therapeutic use",1
Ritonavir/*administration & dosage,6
Interleukin-6/genetics/immunology,1
Steroids/*therapeutic use,10
Immunologic Factors/adverse effects/therapeutic use,9
*Coronavirus Infections/diagnosis/immunology/mortality/therapy,3
Enterocolitis/*complications/virology,6
2-Pyridinylmethylsulfinylbenzimidazoles/*administration & dosage/adverse effects,2
Hypertension/*epidemiology/physiopathology,2
Neurotoxicity Syndromes/*etiology,2
Organoselenium Compounds/chemistry/*pharmacology/therapeutic use,7
*Intraocular Pressure,7
*Urethral Stricture,1
Cluster Analysis,371
Cerebrovascular Disorders/*epidemiology/therapy/*virology,10
Alanine/*analogs & derivatives/chemical synthesis/supply & distribution,2
Inflammation/therapy,5
"Pneumonia, Viral/*blood/complications/*diagnosis",1
International Educational Exchange,3
*COVID-19/complications/physiopathology/therapy,4
Peptides/chemistry/immunology,4
*Forgiveness,8
"Receptors, Purinergic P2Y/*metabolism",10
Severe Acute Respiratory Syndrome/*diagnosis/virology,14
Neoplasms/epidemiology/*immunology/pathology/virology,1
Teleradiology/*organization & administration,17
L-Lactate Dehydrogenase/metabolism,76
HIV Infections/drug therapy/*epidemiology/mortality/virology,3
Clinical Laboratory Services/*standards,1
Urticaria/*diagnosis/drug therapy,4
*Invasive Pulmonary Aspergillosis/diagnosis/drug therapy,13
*Intensive Care Units/standards,4
Coronavirus Infections/*diagnosis/*epidemiology/transmission/virology,4
Lung Neoplasms/*mortality,3
Kidney/*diagnostic imaging/physiopathology,2
*COVID-19/epidemiology/immunology/prevention & control/virology,1
Rhizopus oryzae/growth & development/radiation effects,4
Coronavirus Infections/*surgery/therapy/*virology,3
Angiotensin-Converting Enzyme 2/*immunology,19
*Takotsubo Cardiomyopathy,4
Cardiovascular Surgical Procedures/*standards,1
Medication Therapy Management/standards,23
Respiratory Insufficiency/therapy,48
"Pneumonia, Viral/drug therapy/*epidemiology",42
Triazoles/therapeutic use,2
RNA-Dependent RNA Polymerase/*antagonists & inhibitors/chemistry/metabolism,18
Ireland,107
Skin Care/*standards,1
Nutritive Value,14
SARS-CoV-2/*drug effects/immunology/physiology,9
Cardiovascular Diseases/*virology,37
*COVID-19 Testing/methods,14
Th1 Cells/*immunology/virology,2
Coronavirus Infections/*urine,3
Homeless Youth/psychology,4
Yellow Fever Vaccine/*genetics,3
Substance-Related Disorders/complications/*epidemiology,1
Urologists/statistics & numerical data,2
"*Pneumonia, Viral/epidemiology/physiopathology/psychology/rehabilitation",2
"Cardiomyopathy, Hypertrophic/pathology/*veterinary/virology",19
"Stress, Psychological/*prevention & control/*psychology",1
Communicable Disease Control/instrumentation/standards,4
Communicable Disease Control/economics/*organization & administration/standards,4
*Myocardial Ischemia/etiology,17
Ion Channels/*antagonists & inhibitors/metabolism,1
Protease Inhibitors/therapeutic use,60
"*Animals, Wild/virology",1
Coronavirus Infections/diagnosis/drug therapy/*epidemiology/*physiopathology,2
Cerebral Hemorrhage/physiopathology,1
*Nucleosides/pharmacology/therapeutic use,1
"Dermatitis, Irritant/*etiology",13
"Pneumonia, Viral/drug therapy/epidemiology/*virology",24
"Pneumonia, Viral/*epidemiology/urine/*virology",7
Endocrinology/*trends,8
"Pneumonia, Viral/diagnosis/drug therapy/*epidemiology/*physiopathology",2
"Carcinoma, Non-Small-Cell Lung/complications/diagnosis/mortality/*surgery",1
Developed Countries/economics,19
"Aneurysm, Dissecting/diagnosis/epidemiology/*surgery",1
*Polymyalgia Rheumatica/diagnosis/drug therapy,3
"Pneumonia, Viral/epidemiology/*prevention & control/*virology",1
"Pneumonia, Viral/*complications/diagnostic imaging/pathology/*virology",4
*Economics,8
"*Pathology, Clinical",2
Resource Allocation/standards,6
Triazines/chemistry/*therapeutic use,3
Lung Neoplasms/complications/*radiotherapy/virology,3
Parent-Child Relations,42
Immunomodulation/*drug effects,4
Hospital Departments/methods/organization & administration/*standards,17
*Data Collection/standards,13
Coronavirus Infections/complications/*immunology/physiopathology/virology,1
Hydrocortisone/*administration & dosage,2
Laparoscopy/education,1
*Disabled Children/education/psychology,6
Acute Kidney Injury/*epidemiology/*etiology/mortality/virology,7
Alaska,26
"Leukemia, Myeloid, Chronic-Phase/*complications/diagnosis/*drug therapy",11
*Haemophilus Vaccines,6
Carbamates/*administration & dosage,3
"Vaccines, Attenuated/administration & dosage",25
COVID-19/*drug therapy/immunology/mortality/virology,14
COVID-19/*complications/epidemiology/physiopathology,9
Immunoglobulin Fab Fragments/chemistry/immunology/pharmacology,3
COVID-19/diagnosis/*etiology/mortality,1
Interleukin-10,8
"Pneumonia, Viral/epidemiology/mortality/*pathology/therapy",4
Nipah Virus/*pathogenicity,1
Psychotropic Drugs/administration & dosage,1
Cardiovascular Diseases/blood/complications/*diagnosis/pathology,3
"Chemotherapy, Adjuvant",78
Marital Status/statistics & numerical data,12
Healthcare Disparities/ethics/standards,3
"Pneumonia, Viral/complications/diagnosis/epidemiology/*transmission",2
Nurses/*organization & administration/standards,14
Diagnostic Imaging/*standards,2
*Coronavirus Infections/diagnosis/drug therapy/therapy,2
Coinfection,251
Pandemics/history/*veterinary,1
Thrombophilia/*drug therapy/etiology,3
Anesthesiology/*methods,10
Coronavirus Infections/complications/drug,1
Acid-Base Equilibrium,6
Diabetes Mellitus/blood/metabolism/*therapy/*virology,2
Feline Infectious Peritonitis/virology,1
Ethanol/*analysis,19
Liver Neoplasms/complications/*surgery/virology,24
COVID-19/immunology/*prevention & control/transmission/virology,14
Plasmapheresis,69
Glycated Hemoglobin A/*analysis/metabolism,6
Coronavirus Protease Inhibitors/chemistry/isolation & purification/*pharmacology,8
Taste Disorders/*etiology,23
Vitamin A/therapeutic use,3
Eligibility Determination/*organization & administration,2
Coronavirus Infections/complications/diagnosis/*mortality/virology,15
Frozen Sections,1
Peptide Hydrolases/chemistry,1
SARS-CoV-2/*genetics/*metabolism,20
Hiccup/*etiology,3
"Pneumonia, Viral/epidemiology/prevention & control/*surgery",6
Pharmacists/*psychology/trends,24
Alveolar Epithelial Cells,27
*Pregnancy Complications/epidemiology/physiopathology/therapy,2
"Stress, Psychological/drug therapy",14
Orthopedics/*standards,27
*Acute Kidney Injury/epidemiology/etiology/therapy,9
"Receptors, Complement/metabolism",6
Coronavirus Infections/diagnostic imaging/*drug,3
"Pneumonia, Viral/complications/diagnostic imaging/pathology/*therapy",24
Vascular Surgical Procedures/*standards,3
Dysgeusia/diagnosis/epidemiology/*etiology,2
COVID-19/*mortality/*prevention & control,22
T Follicular Helper Cells/immunology,6
Heat-Shock Proteins/*chemistry/metabolism,3
Caregiver Burden/epidemiology/psychology,1
N95 Respirators/*virology,27
Coronavirus Infections/diagnosis/drug therapy/epidemiology/prevention &,3
Pelvis/blood supply,1
Community Health Services/*methods,7
Antimalarials/pharmacology,29
Ventricular Fibrillation/diagnosis/etiology/physiopathology/*therapy,3
"Radiography, Abdominal/methods",1
Australasia/epidemiology,3
"Pneumonia, Viral/epidemiology/therapy/*virology",1
Coronavirus/isolation & purification/pathogenicity,5
Telephone/*statistics & numerical data,2
"Ventilators, Mechanical/virology",1
Cardiovascular Diseases/*mortality,44
Lipoylation/drug effects,9
Hand Dermatoses/epidemiology/*pathology,3
Bacterial Infections/*complications/*drug therapy,1
Neuropsychological Tests,56
Mood Disorders/epidemiology/therapy,15
General Surgery/education/trends,18
*Aortic Rupture/diagnostic imaging/epidemiology/surgery,5
"Pregnancy Complications, Infectious/*prevention & control",70
COVID-19/*physiopathology/transmission,9
Eye Banks/*standards,1
Bird Diseases/epidemiology/*microbiology,1
*Neanderthals/genetics,4
Coronavirus Infections/*economics/prevention & control,7
Viral Vaccines/*standards/therapeutic use,22
Azithromycin/administration & dosage,13
"*Dermatitis, Atopic/diagnosis/epidemiology",6
Integrins/*genetics,6
*Coronavirus Infections/complications/drug therapy/enzymology/therapy/virology,3
Hemoglobins/chemistry,22
Ketamine/*administration & dosage/adverse effects,11
Pituitary-Adrenal System,9
Herpesviridae Infections/*complications/immunology/pathology/virology,4
Genotyping Techniques/*methods,2
Zinc/pharmacology,3
SARS Virus/*drug effects/physiology,14
Health Resources/economics/supply & distribution,3
Metapneumovirus/growth & development/pathogenicity,3
Pregnancy Complications/epidemiology,1
"Pneumonia, Viral/blood/*diagnostic imaging/drug therapy/*physiopathology",1
Health Surveys/*methods,4
School Health Services/organization & administration,7
*Headache/etiology/surgery,11
*Dementia/virology,1
*Escherichia coli/genetics/metabolism,4
Disinfection/*instrumentation,3
Camelus,64
Urologic Surgical Procedures/*statistics & numerical data,14
*Breast Neoplasms/diagnostic imaging,19
N95 Respirators/standards/*supply & distribution,15
Obesity/psychology/*therapy,7
Psychotic Disorders/complications/*drug therapy,23
"Stress Disorders, Post-Traumatic/*therapy",2
Pneumococcal Infections/*pathology,21
*Diarrhea/diagnosis/epidemiology/etiology/physiopathology,2
Coronavirus Infections/complications/diagnosis/*diagnostic,6
Glutathione/blood/chemistry,5
Malnutrition/*complications/*therapy,1
"*Pneumonia, Viral/complications/enzymology/therapy/virology",3
Patient Acceptance of Health Care,236
Multiple Organ Failure/therapy/virology,1
"Pneumonia, Viral/*mortality/pathology/transmission",1
Interleukin-7/administration & dosage/*therapeutic use,3
Hypoglycemic Agents/administration & dosage/metabolism,7
Methylprednisolone/adverse effects/*therapeutic use,17
COVID-19/*complications/epidemiology/*mortality,4
Glycopeptides/*blood,5
Stroke Rehabilitation/*methods,38
RNA Viruses/*genetics/isolation & purification,2
Coronavirus Infections/diagnosis/immunology/*prevention &,10
Finland,55
*Neurosurgery,171
Epithelial Cells/cytology/virology,1
COVID-19/diagnosis/*epidemiology/immunology/prevention & control,1
"Pneumonia, Viral/*diagnostic imaging/*therapy/virology",1
*Heparin/adverse effects,9
Ischemic Preconditioning/*methods,3
"Pneumonia, Viral/*transmission/*virology",39
Alzheimer Disease/metabolism,3
Thymine Nucleotides/pharmacology,1
Hemodynamic Monitoring,1
Nursing Staff/*psychology/standards,3
Leisure Activities,14
Triage/ethics/methods,26
Traumatology/*organization & administration,25
"Spike Glycoprotein, Coronavirus/biosynthesis/*immunology",2
Interleukin-2 Receptor alpha Subunit/immunology,20
Brain/immunology/metabolism/*physiopathology,8
*Blood Component Transfusion/methods/statistics & numerical data,4
"Pneumonia, Viral/diagnosis/*epidemiology",466
Blood Coagulation Disorders/diagnosis/therapy/*virology,4
Cysteine Endopeptidases/genetics/metabolism,2
Coronavirus Infections/*epidemiology/psychology/therapy,37
Pulmonary Embolism/diagnostic imaging/*epidemiology,12
Abdomen/*diagnostic imaging,2
"*Water Pollutants, Chemical/metabolism",3
COVID-19/*diagnosis/drug therapy,7
Food Preferences/*psychology,4
*Obesity/epidemiology,13
